U_KL	U_RI	I_RI	1	2
0.924	0.7	0.00135397		
0.916	3	0.00580271		
0.904	5.6	0.0108317		
0.89	8.3	0.0160542		
0.87	11.5	0.0222437		
0.845	14.7	0.0284333		
0.829	16.1	0.0311412		
0.795	19.1	0.0369439		
0.731	21.1	0.0408124		
0.667	22.2	0.04294		
0.552	23.4	0.0452611		
0.477	23.7	0.0458414		
0.421	24	0.0464217		
0.375	24	0.0464217		
0.268	24.3	0.0470019		
0.246	24.4	0.0471954		
0.185	24.6	0.0475822		
0.149	24.7	0.0477756		
0.1	24.9	0.0481625		
0.063	25.1	0.0485493		
0.037	24.9	0.0481625		
0.031	0.25	0.000483559		
		0		
		0		
		0		
		0		
		0		
		0		
		0		
		0		
